
Target connectome: 80 nodes, 255 edges, density=0.0398
  Out-degree: min=0, max=13, mean=3.19
  In-degree:  min=0, max=16, mean=3.19
Largest SCC: 24 nodes, 53 edges
Degree threshold for hubs (95th percentile): 7.0
Hub neurons: ['RIBL', 'RIS', 'RMDR']
G_C: 0.1565, G_rand_C: 0.0502, C_ratio: 3.1160
G_L: 4.3623, G_rand_L: 3.5905, L_ratio: 0.8231

NDP parameters breakdown:
  Embedding: 1
  Growth MLP: 4
  Transform MLP: 4
  Edge MLP: 5
  TOTAL: 14
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 80 nodes, 255 edges
  Parameters: 14
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen 129 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 130 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 131 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 132 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 133 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 134 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 135 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 136 | loss=0.8250 | f1=0.1217 prec=0.0660 rec=0.7778 jacc=0.0648 | nodes=14/80 edges=106/255
Gen 137 | loss=0.8000 | f1=0.0993 prec=0.0538 rec=0.6364 jacc=0.0522 | nodes=16/80 edges=130/255
Gen 138 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 139 | loss=0.7500 | f1=0.0938 prec=0.0517 rec=0.5000 jacc=0.0492 | nodes=20/80 edges=174/255
Gen 140 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 141 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 142 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 143 | loss=0.8000 | f1=0.0993 prec=0.0538 rec=0.6364 jacc=0.0522 | nodes=16/80 edges=130/255
Gen 144 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 145 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 146 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 147 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 148 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 149 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 150 | loss=0.7750 | f1=0.0952 prec=0.0519 rec=0.5714 jacc=0.0500 | nodes=18/80 edges=154/255
Gen 151 | loss=0.7500 | f1=0.0938 prec=0.0517 rec=0.5000 jacc=0.0492 | nodes=20/80 edges=174/255
Gen 152 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 153 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 154 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 155 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 156 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 157 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 158 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 159 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 160 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 161 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 162 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 163 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 164 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 165 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 166 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 167 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 168 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 169 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 170 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 171 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 172 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 173 | loss=0.8000 | f1=0.0993 prec=0.0538 rec=0.6364 jacc=0.0522 | nodes=16/80 edges=130/255
Gen 174 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 175 | loss=0.7000 | f1=0.1103 prec=0.0610 rec=0.5769 jacc=0.0584 | nodes=24/80 edges=246/255
Gen 176 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
Gen 177 | loss=0.8500 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/80 edges=74/255
